case_id,scenario_category,scenario_summary,primary_persona_code,primary_persona_name,primary_priority,primary_failure_tendency,challenger_persona_code,challenger_persona_name,adversarial_pressure,challenger_argument,initial_recommended_action,initial_route,initial_decision_owner,initial_reasoning,initial_bias,governed_final_action,governed_final_route,governed_decision_owner,decision_changed,change_reason,required_evidence_pipe_delimited,message_facts_pipe_delimited,confidence_1_to_5,leader_response_first_person,simulated_handoff_target,economic_or_customer_tradeoff,control_applied,evidence_class,independence_status,timing_status,claim_boundary
SCC-01-HO2-001,verified-prior-recovery,EUR 21.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; prior REFUND_MISSING is VERIFIED; policy result NO_ACTION_ALREADY_RECOVERED via delegated.,P-CUST,Customer Recovery Advocate,Restore customer clarity and momentum with the least avoidable friction.,May promise or remedy too early when empathy outruns evidence and authority.,P-TECH,Technical Reliability Owner,A frustrated customer needs a clear answer now; delay may create another contact.,"Technical Reliability Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",REFUND_MISSING,delegated,customer_recovery_specialist,The customer has already waited; issue the missing-value refund now.,empathy-before-postcondition,NO_ACTION_ALREADY_RECOVERED,delegated,customer_recovery_specialist,true,Changed after the Technical Reliability Owner challenge exposed empathy-before-postcondition; the frozen policy requires NO_ACTION_ALREADY_RECOVERED via delegated.,CARRIER|CRM|OMS|PAYMENT|POLICY|WMS,case_received|no_new_action_created|order_reference_confirmed|recovery_under_review,3,"I prevent a duplicate recovery. The prior action is VERIFIED and its authoritative postcondition covers the EUR 21.00 affected value, so I create no new action and keep delegated ownership.",customer_recovery_specialist,Duplicate cost is avoided while the customer receives a supported no-new-action explanation.,Duplicate-action prevention and supported no-new-action communication.,ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-002,partial-fulfilment-refund,EUR 118.00 affected on EUR 420.00 order; carrier DELAYED; preference fastest_recovery; policy result REFUND_MISSING via approval.,P-OPS,Fulfilment Operations Coordinator,"Maintain case flow while reconciling OMS, WMS, carrier, and inventory evidence.",May optimise queue flow or stock availability before checking customer preference and authority.,P-WORK,Workflow Owner,The exception queue is growing; another handoff threatens cycle time and rework.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",REFUND_MISSING,delegated,customer_recovery_specialist,"The evidence supports a refund, so keep it in the frontline queue.",queue-speed-over-authority,REFUND_MISSING,approval,finance_duty_approver,true,Changed after the Workflow Owner challenge exposed queue-speed-over-authority; the frozen policy requires REFUND_MISSING via approval.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,3,I select refund because replacement is unavailable or not the chosen recovery. I route the EUR 118.00 exposure to finance_duty_approver and state clearly that recommendation is not verified payment execution.,finance_duty_approver,"Cash is returned instead of consuming stock, but execution must be separately verified.","Authority threshold, exact confirmation before execution, and postcondition verification.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-003,partial-fulfilment-refund,EUR 100.00 affected on EUR 300.00 order; carrier DELAYED; preference fastest_recovery; policy result REFUND_MISSING via approval.,P-WORK,Workflow Owner,"Balance customer outcome, flow, unit economics, and explicit decision rights.",May let throughput or economics create a quiet policy override.,P-RISK,Policy and Risk Owner,The workflow must protect both customer value and sustainable unit economics.,"Policy and Risk Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",REFUND_MISSING,approval,workflow_owner,The Workflow Owner lens identifies missing_quantity_confirmed and selects the policy route.,policy-aligned-persona-lens,REFUND_MISSING,approval,workflow_owner,false,Retained after the Policy and Risk Owner challenge confirmed the first decision against the frozen policy.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,5,I select refund because replacement is unavailable or not the chosen recovery. I route the EUR 100.00 exposure to workflow_owner and state clearly that recommendation is not verified payment execution.,workflow_owner,"Cash is returned instead of consuming stock, but execution must be separately verified.","Authority threshold, exact confirmation before execution, and postcondition verification.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-004,partial-fulfilment-with-stock,EUR 68.00 affected on EUR 170.00 order; carrier DELAYED; preference fastest_recovery; policy result RESHIP_MISSING via approval.,P-TECH,Technical Reliability Owner,Prevent duplicate actions and distinguish recommendations from verified postconditions.,May trust a platform status label or over-focus on system state at the expense of the whole journey.,P-WORK,Workflow Owner,A misleading status or duplicate write could create an irreversible second remedy.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",RESHIP_MISSING,approval,workflow_owner,The Technical Reliability Owner lens identifies missing_quantity_confirmed and selects the policy route.,policy-aligned-persona-lens,RESHIP_MISSING,approval,workflow_owner,false,Retained after the Workflow Owner challenge confirmed the first decision against the frozen policy.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|replacement_requires_verified_execution,5,"I select reship because replacement stock is reservable and the customer did not request a refund. I route the EUR 68.00 exposure to workflow_owner, with execution and reservation still requiring verification.",workflow_owner,Faster physical recovery consumes stock and requires verified reservation and delivery follow-through.,"Authority threshold, exact confirmation before execution, and postcondition verification.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-005,partial-fulfilment-refund,EUR 72.00 affected on EUR 180.00 order; carrier LOST_CONFIRMED; preference fastest_recovery; policy result REFUND_MISSING via approval.,P-RISK,Policy and Risk Owner,"Stop unsafe, fraudulent, privacy-sensitive, or chargeback-conflicted action.",May convert ordinary ambiguity into excessive specialist escalation.,P-WORK,Workflow Owner,A consequential action must remain stopped if the risk classification is unresolved.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",ESCALATE_SPECIALIST,specialist,policy_and_risk_owner,The exposure is material; stop it with a specialist rather than approve a refund.,value-treated-as-risk,REFUND_MISSING,approval,workflow_owner,true,Changed after the Workflow Owner challenge exposed value-treated-as-risk; the frozen policy requires REFUND_MISSING via approval.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,3,I select refund because replacement is unavailable or not the chosen recovery. I route the EUR 72.00 exposure to workflow_owner and state clearly that recommendation is not verified payment execution.,workflow_owner,"Cash is returned instead of consuming stock, but execution must be separately verified.","Authority threshold, exact confirmation before execution, and postcondition verification.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-006,verified-prior-recovery,EUR 20.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; prior RESHIP_MISSING is VERIFIED; policy result NO_ACTION_ALREADY_RECOVERED via delegated.,P-CUST,Customer Recovery Advocate,Restore customer clarity and momentum with the least avoidable friction.,May promise or remedy too early when empathy outruns evidence and authority.,P-TECH,Technical Reliability Owner,A frustrated customer needs a clear answer now; delay may create another contact.,"Technical Reliability Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",NO_ACTION_ALREADY_RECOVERED,delegated,customer_recovery_specialist,The Customer Recovery Advocate lens identifies verified_prior_action and selects the policy route.,policy-aligned-persona-lens,NO_ACTION_ALREADY_RECOVERED,delegated,customer_recovery_specialist,false,Retained after the Technical Reliability Owner challenge confirmed the first decision against the frozen policy.,CARRIER|CRM|OMS|PAYMENT|POLICY|WMS,case_received|no_new_action_created|order_reference_confirmed|recovery_under_review,5,"I prevent a duplicate recovery. The prior action is VERIFIED and its authoritative postcondition covers the EUR 20.00 affected value, so I create no new action and keep delegated ownership.",customer_recovery_specialist,Duplicate cost is avoided while the customer receives a supported no-new-action explanation.,Duplicate-action prevention and supported no-new-action communication.,ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-007,partial-fulfilment-with-stock,EUR 25.01 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; policy result RESHIP_MISSING via approval.,P-OPS,Fulfilment Operations Coordinator,"Maintain case flow while reconciling OMS, WMS, carrier, and inventory evidence.",May optimise queue flow or stock availability before checking customer preference and authority.,P-WORK,Workflow Owner,The exception queue is growing; another handoff threatens cycle time and rework.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",RESHIP_MISSING,approval,workflow_owner,The Fulfilment Operations Coordinator lens identifies missing_quantity_confirmed and selects the policy route.,policy-aligned-persona-lens,RESHIP_MISSING,approval,workflow_owner,false,Retained after the Workflow Owner challenge confirmed the first decision against the frozen policy.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|replacement_requires_verified_execution,5,"I select reship because replacement stock is reservable and the customer did not request a refund. I route the EUR 25.01 exposure to workflow_owner, with execution and reservation still requiring verification.",workflow_owner,Faster physical recovery consumes stock and requires verified reservation and delivery follow-through.,"Authority threshold, exact confirmation before execution, and postcondition verification.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-008,evidence-integrity-stop,EUR 20.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; CRM missing; policy result ESCALATE_EVIDENCE via specialist.,P-WORK,Workflow Owner,"Balance customer outcome, flow, unit economics, and explicit decision rights.",May let throughput or economics create a quiet policy override.,P-OPS,Fulfilment Operations Coordinator,The workflow must protect both customer value and sustainable unit economics.,"Fulfilment Operations Coordinator tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",REFUND_MISSING,delegated,customer_recovery_specialist,The missing quantity is clear enough; avoid another evidence handoff.,throughput-over-evidence,ESCALATE_EVIDENCE,specialist,fulfilment_operations_coordinator,true,Changed after the Fulfilment Operations Coordinator challenge exposed throughput-over-evidence; the frozen policy requires ESCALATE_EVIDENCE via specialist.,CARRIER|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,"I do not turn queue pressure into an unsupported financial or stock action. Because missing:CRM, I route to fulfilment_operations_coordinator and preserve an evidence-first stop.",fulfilment_operations_coordinator,Queue delay is accepted to prevent an unsupported remedy from incomplete or conflicting evidence.,"Evidence completeness, freshness, conflict detection, and fail-closed routing.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-009,partial-fulfilment-refund,EUR 20.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; policy result REFUND_MISSING via delegated.,P-TECH,Technical Reliability Owner,Prevent duplicate actions and distinguish recommendations from verified postconditions.,May trust a platform status label or over-focus on system state at the expense of the whole journey.,P-WORK,Workflow Owner,A misleading status or duplicate write could create an irreversible second remedy.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",REFUND_MISSING,delegated,customer_recovery_specialist,The Technical Reliability Owner lens identifies missing_quantity_confirmed and selects the policy route.,policy-aligned-persona-lens,REFUND_MISSING,delegated,customer_recovery_specialist,false,Retained after the Workflow Owner challenge confirmed the first decision against the frozen policy.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,5,I select refund because replacement is unavailable or not the chosen recovery. I route the EUR 20.00 exposure to customer_recovery_specialist and state clearly that recommendation is not verified payment execution.,customer_recovery_specialist,"Cash is returned instead of consuming stock, but execution must be separately verified.","Authority threshold, exact confirmation before execution, and postcondition verification.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-010,evidence-integrity-stop,EUR 20.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; INVENTORY stale; policy result ESCALATE_EVIDENCE via specialist.,P-RISK,Policy and Risk Owner,"Stop unsafe, fraudulent, privacy-sensitive, or chargeback-conflicted action.",May convert ordinary ambiguity into excessive specialist escalation.,P-OPS,Fulfilment Operations Coordinator,A consequential action must remain stopped if the risk classification is unresolved.,"Fulfilment Operations Coordinator tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",ESCALATE_SPECIALIST,specialist,policy_and_risk_owner,"Stale inventory makes the case risky, so send it to the broad risk queue.",generic-caution-over-specific-route,ESCALATE_EVIDENCE,specialist,fulfilment_operations_coordinator,true,Changed after the Fulfilment Operations Coordinator challenge exposed generic-caution-over-specific-route; the frozen policy requires ESCALATE_EVIDENCE via specialist.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,"I do not turn queue pressure into an unsupported financial or stock action. Because stale:INVENTORY, I route to fulfilment_operations_coordinator and preserve an evidence-first stop.",fulfilment_operations_coordinator,Queue delay is accepted to prevent an unsupported remedy from incomplete or conflicting evidence.,"Evidence completeness, freshness, conflict detection, and fail-closed routing.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
