case_id,reviewer_code,run_type,started_at_utc,ended_at_utc,active_handling_seconds,recommended_action,route,evidence_used_pipe_delimited,message_facts_pipe_delimited,confidence_1_to_5,help_requested,handoff_count,policy_lookup_count,notes_without_personal_data
SCC-01-HO2-001,SIM-P-CUST,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,NO_ACTION_ALREADY_RECOVERED,delegated,CARRIER|CRM|OMS|PAYMENT|POLICY|WMS,case_received|no_new_action_created|order_reference_confirmed|recovery_under_review,3,true,0,0,"AI batch simulation using Customer Recovery Advocate and Technical Reliability Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-002,SIM-P-OPS,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,REFUND_MISSING,approval,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,3,true,0,0,"AI batch simulation using Fulfilment Operations Coordinator and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-003,SIM-P-WORK,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,REFUND_MISSING,approval,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,5,true,0,0,"AI batch simulation using Workflow Owner and Policy and Risk Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-004,SIM-P-TECH,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,RESHIP_MISSING,approval,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|replacement_requires_verified_execution,5,true,0,0,"AI batch simulation using Technical Reliability Owner and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-005,SIM-P-RISK,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,REFUND_MISSING,approval,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,3,true,0,0,"AI batch simulation using Policy and Risk Owner and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-006,SIM-P-CUST,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,NO_ACTION_ALREADY_RECOVERED,delegated,CARRIER|CRM|OMS|PAYMENT|POLICY|WMS,case_received|no_new_action_created|order_reference_confirmed|recovery_under_review,5,true,0,0,"AI batch simulation using Customer Recovery Advocate and Technical Reliability Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-007,SIM-P-OPS,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,RESHIP_MISSING,approval,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|replacement_requires_verified_execution,5,true,0,0,"AI batch simulation using Fulfilment Operations Coordinator and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-008,SIM-P-WORK,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,ESCALATE_EVIDENCE,specialist,CARRIER|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,true,0,0,"AI batch simulation using Workflow Owner and Fulfilment Operations Coordinator; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-009,SIM-P-TECH,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,REFUND_MISSING,delegated,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,5,true,0,0,"AI batch simulation using Technical Reliability Owner and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-010,SIM-P-RISK,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,ESCALATE_EVIDENCE,specialist,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,true,0,0,"AI batch simulation using Policy and Risk Owner and Fulfilment Operations Coordinator; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-011,SIM-P-CUST,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,ESCALATE_SPECIALIST,specialist,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,true,0,0,"AI batch simulation using Customer Recovery Advocate and Policy and Risk Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-012,SIM-P-OPS,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,ESCALATE_SPECIALIST,specialist,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,4,true,0,0,"AI batch simulation using Fulfilment Operations Coordinator and Policy and Risk Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-013,SIM-P-WORK,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,ESCALATE_SPECIALIST,specialist,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,true,0,0,"AI batch simulation using Workflow Owner and Policy and Risk Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-014,SIM-P-TECH,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,RESHIP_MISSING,approval,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|replacement_requires_verified_execution,5,true,0,0,"AI batch simulation using Technical Reliability Owner and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-015,SIM-P-RISK,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,REFUND_MISSING,approval,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,5,true,0,0,"AI batch simulation using Policy and Risk Owner and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-016,SIM-P-CUST,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,REFUND_MISSING,approval,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,3,true,0,0,"AI batch simulation using Customer Recovery Advocate and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-017,SIM-P-OPS,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,RESHIP_MISSING,approval,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|replacement_requires_verified_execution,3,true,0,0,"AI batch simulation using Fulfilment Operations Coordinator and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-018,SIM-P-WORK,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,WAIT_VERIFIED_ETA,delegated,CARRIER|OMS|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|revised_eta_is_estimate,5,true,0,0,"AI batch simulation using Workflow Owner and Customer Recovery Advocate; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-019,SIM-P-TECH,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,ESCALATE_ACTION_RECOVERY,specialist,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,true,0,0,"AI batch simulation using Technical Reliability Owner and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-020,SIM-P-RISK,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,NO_ACTION_DUPLICATE_SIGNAL,delegated,CARRIER|CRM|OMS|PAYMENT|POLICY|WMS,case_received|no_new_action_created|order_reference_confirmed|recovery_under_review,3,true,0,0,"AI batch simulation using Policy and Risk Owner and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-021,SIM-P-CUST,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,RESHIP_MISSING,delegated,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|replacement_requires_verified_execution,5,true,0,0,"AI batch simulation using Customer Recovery Advocate and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-022,SIM-P-OPS,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,REFUND_MISSING,delegated,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,3,true,0,0,"AI batch simulation using Fulfilment Operations Coordinator and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-023,SIM-P-WORK,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,ESCALATE_ACTION_RECOVERY,specialist,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,true,0,0,"AI batch simulation using Workflow Owner and Technical Reliability Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-024,SIM-P-TECH,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,ESCALATE_ACTION_RECOVERY,specialist,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,true,0,0,"AI batch simulation using Technical Reliability Owner and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-025,SIM-P-RISK,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,ESCALATE_EVIDENCE,specialist,CARRIER|CRM|INVENTORY|OMS|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,4,true,0,0,"AI batch simulation using Policy and Risk Owner and Fulfilment Operations Coordinator; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-026,SIM-P-CUST,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,ESCALATE_ACTION_RECOVERY,specialist,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,4,true,0,0,"AI batch simulation using Customer Recovery Advocate and Technical Reliability Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-027,SIM-P-OPS,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,RESHIP_MISSING,delegated,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|replacement_requires_verified_execution,3,true,0,0,"AI batch simulation using Fulfilment Operations Coordinator and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-028,SIM-P-WORK,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,RESHIP_MISSING,delegated,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|replacement_requires_verified_execution,5,true,0,0,"AI batch simulation using Workflow Owner and Policy and Risk Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-029,SIM-P-TECH,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,REFUND_MISSING,approval,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,3,true,0,0,"AI batch simulation using Technical Reliability Owner and Workflow Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-030,SIM-P-RISK,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,ESCALATE_EVIDENCE,specialist,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,true,0,0,"AI batch simulation using Policy and Risk Owner and Fulfilment Operations Coordinator; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-031,SIM-P-CUST,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,ESCALATE_SPECIALIST,specialist,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,true,0,0,"AI batch simulation using Customer Recovery Advocate and Policy and Risk Owner; no human handling, timing, handoff, independence, or outcome is claimed."
SCC-01-HO2-032,SIM-P-OPS,ai-assisted-multi-persona,2026-08-11T04:05:13Z,2026-08-11T04:05:13Z,0,ESCALATE_ACTION_RECOVERY,specialist,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,4,true,0,0,"AI batch simulation using Fulfilment Operations Coordinator and Technical Reliability Owner; no human handling, timing, handoff, independence, or outcome is claimed."
